ACCOUNT,DAY_OPENED,Y_PRED
15000,20190424,
15001,20200110,
15002,20161213,
15003,20180712,
15004,20190613,
15005,20170526,
15006,20191023,
15007,20191010,
15008,20190502,
15009,20181112,
15010,20180222,
15011,20190428,
15012,20191024,
15013,20170831,
15014,20180625,
15015,20180516,
15016,20170407,
15017,20170614,
15018,20170912,
15019,20190604,
15020,20190424,
15021,20180914,
15022,20190402,
15023,20160927,
15024,20190924,
15025,20160812,
15026,20151215,
15027,20190624,
15028,20190716,
15029,20190509,
15030,20180927,
15031,20151230,
15032,20190418,
15033,20190814,
15034,20190605,
15035,20171228,
15036,20190730,
15037,20181114,
15038,20191030,
15039,20190417,
15040,20190509,
15041,20190823,
15042,20181101,
15043,20181211,
15044,20190319,
15045,20151203,
15046,20170614,
15047,20160115,
15048,20190621,
15049,20180925,
15050,20190812,
15051,20190618,
15052,20190726,
15053,20190723,
15054,20190728,
15055,20190428,
15056,20200115,
15057,20170424,
15058,20160921,
15059,20190628,
15060,20190421,
15061,20171117,
15062,20190102,
15063,20181105,
15064,20190514,
15065,20180130,
15066,20190604,
15067,20170419,
15068,20190327,
15069,20191008,
15070,20171129,
15071,20190829,
15072,20180115,
15073,20171010,
15074,20160628,
15075,20190517,
15076,20190507,
15077,20180524,
15078,20190321,
15079,20180716,
15080,20180801,
15081,20170307,
15082,20190805,
15083,20190503,
15084,20190428,
15085,20190503,
15086,20190418,
15087,20190808,
15088,20181114,
15089,20190820,
15090,20190616,
15091,20190822,
15092,20170414,
15093,20180319,
15094,20181022,
15095,20190516,
15096,20180518,
15097,20151208,
15098,20190411,
15099,20170926,
15100,20151230,
15101,20190620,
15102,20170615,
15103,20190909,
15104,20190902,
15105,20180305,
15106,20190505,
15107,20171221,
15108,20190709,
15109,20171116,
15110,20190326,
15111,20190808,
15112,20161103,
15113,20190401,
15114,20191017,
15115,20190714,
15116,20160612,
15117,20170815,
15118,20190724,
15119,20190908,
15120,20161017,
15121,20190814,
15122,20191008,
15123,20190912,
15124,20160420,
15125,20161028,
15126,20180712,
15127,20181209,
15128,20190618,
15129,20170727,
15130,20161220,
15131,20180926,
15132,20180103,
15133,20190517,
15134,20190822,
15135,20170829,
15136,20180113,
15137,20191127,
15138,20151216,
15139,20190723,
15140,20190823,
15141,20181221,
15142,20190618,
15143,20170711,
15144,20190729,
15145,20190902,
15146,20160719,
15147,20191015,
15148,20190717,
15149,20170915,
15150,20190716,
15151,20181026,
15152,20191025,
15153,20190604,
15154,20190506,
15155,20190802,
15156,20160428,
15157,20190731,
15158,20160811,
15159,20190606,
15160,20170703,
15161,20180524,
15162,20180402,
15163,20190614,
15164,20160625,
15165,20160804,
15166,20161021,
15167,20171031,
15168,20160920,
15169,20190618,
15170,20160519,
15171,20190926,
15172,20151204,
15173,20160907,
15174,20160627,
15175,20190318,
15176,20151223,
15177,20180330,
15178,20200114,
15179,20190523,
15180,20190508,
15181,20170125,
15182,20170919,
15183,20160321,
15184,20190510,
15185,20190503,
15186,20190826,
15187,20171130,
15188,20190403,
15189,20190723,
15190,20190429,
15191,20190618,
15192,20171012,
15193,20181102,
15194,20200103,
15195,20190914,
15196,20190119,
15197,20190510,
15198,20190815,
15199,20190103,
15200,20170321,
15201,20161123,
15202,20151221,
15203,20160330,
15204,20190729,
15205,20190523,
15206,20190802,
15207,20190430,
15208,20160429,
15209,20190828,
15210,20170327,
15211,20151130,
15212,20191028,
15213,20181024,
15214,20170713,
15215,20190422,
15216,20170602,
15217,20190505,
15218,20180819,
15219,20190619,
15220,20191005,
15221,20190617,
15222,20180509,
15223,20160812,
15224,20180525,
15225,20180702,
15226,20190823,
15227,20170929,
15228,20190623,
15229,20190329,
15230,20180118,
15231,20191014,
15232,20170523,
15233,20160711,
15234,20190718,
15235,20200103,
15236,20190622,
15237,20181024,
15238,20190510,
15239,20190708,
15240,20161102,
15241,20180515,
15242,20190811,
15243,20190614,
15244,20180125,
15245,20180116,
15246,20161222,
15247,20191109,
15248,20190705,
15249,20180428,
15250,20180224,
15251,20190716,
15252,20190720,
15253,20181203,
15254,20170605,
15255,20171225,
15256,20190710,
15257,20190826,
15258,20190430,
15259,20151218,
15260,20190806,
15261,20190917,
15262,20190718,
15263,20160714,
15264,20190227,
15265,20190510,
15266,20190712,
15267,20190528,
15268,20190329,
15269,20181107,
15270,20190514,
15271,20190712,
15272,20190716,
15273,20190628,
15274,20151229,
15275,20190429,
15276,20190625,
15277,20190703,
15278,20190505,
15279,20190618,
15280,20191120,
15281,20200110,
15282,20151214,
15283,20181209,
15284,20190719,
15285,20161215,
15286,20190620,
15287,20181009,
15288,20161216,
15289,20190316,
15290,20161226,
15291,20190603,
15292,20160308,
15293,20181113,
15294,20190509,
15295,20190726,
15296,20180130,
15297,20190426,
15298,20190606,
15299,20191011,
15300,20170419,
15301,20180915,
15302,20171130,
15303,20190604,
15304,20180130,
15305,20160824,
15306,20170731,
15307,20190617,
15308,20190313,
15309,20180904,
15310,20180704,
15311,20180705,
15312,20170411,
15313,20190312,
15314,20180115,
15315,20190528,
15316,20190808,
15317,20170929,
15318,20170419,
15319,20190503,
15320,20190823,
15321,20191114,
15322,20190508,
15323,20190616,
15324,20190730,
15325,20180328,
15326,20160614,
15327,20200115,
15328,20160330,
15329,20190722,
15330,20170124,
15331,20190728,
15332,20190819,
15333,20190505,
15334,20191220,
15335,20200221,
15336,20190102,
15337,20190515,
15338,20190927,
15339,20190516,
15340,20190611,
15341,20180614,
15342,20171017,
15343,20160707,
15344,20151130,
15345,20190601,
15346,20160712,
15347,20180213,
15348,20190828,
15349,20180612,
15350,20190725,
15351,20190714,
15352,20190222,
15353,20160920,
15354,20190716,
15355,20191211,
15356,20190710,
15357,20160822,
15358,20190802,
15359,20180926,
15360,20180725,
15361,20170725,
15362,20181226,
15363,20180824,
15364,20160926,
15365,20190610,
15366,20190611,
15367,20190510,
15368,20171127,
15369,20160801,
15370,20190719,
15371,20180525,
15372,20190614,
15373,20181211,
15374,20180920,
15375,20190614,
15376,20180312,
15377,20160413,
15378,20190411,
15379,20170406,
15380,20170523,
15381,20170809,
15382,20190713,
15383,20190422,
15384,20190923,
15385,20170311,
15386,20171020,
15387,20171127,
15388,20190510,
15389,20190507,
15390,20190428,
15391,20190426,
15392,20190616,
15393,20191203,
15394,20190822,
15395,20190520,
15396,20190925,
15397,20190504,
15398,20190611,
15399,20190221,
15400,20160624,
15401,20160818,
15402,20190320,
15403,20160114,
15404,20160607,
15405,20191121,
15406,20190211,
15407,20190616,
15408,20191004,
15409,20180312,
15410,20171110,
15411,20190617,
15412,20180904,
15413,20160927,
15414,20190420,
15415,20190722,
15416,20180208,
15417,20190905,
15418,20190614,
15419,20171031,
15420,20171201,
15421,20160930,
15422,20160309,
15423,20190715,
15424,20191008,
15425,20170802,
15426,20181104,
15427,20181212,
15428,20181226,
15429,20190519,
15430,20190507,
15431,20180121,
15432,20180201,
15433,20190530,
15434,20190228,
15435,20190529,
15436,20190506,
15437,20160923,
15438,20190304,
15439,20190425,
