ACCOUNT,DAY_OPENED,BAD_FLAG
0,20190430,0
1,20170512,0
2,20190129,0
3,20161026,0
4,20180910,0
5,20170331,0
6,20191206,0
7,20171123,0
8,20170817,0
9,20171227,1
10,20161220,0
11,20180213,0
12,20181010,0
13,20190505,0
14,20190201,0
15,20190801,0
16,20181021,0
17,20191108,0
18,20190816,0
19,20171125,0
20,20190816,0
21,20160304,0
22,20190716,0
23,20190717,0
24,20160918,0
25,20170124,0
26,20151215,0
27,20160614,0
28,20190506,0
29,20190429,0
30,20190622,0
31,20190509,0
32,20190328,0
33,20190516,0
34,20190728,1
35,20190805,0
36,20180411,0
37,20191009,1
38,20170527,0
39,20180630,0
40,20190506,0
41,20151208,0
42,20190428,0
43,20181224,0
44,20170809,0
45,20190412,0
46,20190716,0
47,20190724,0
48,20160713,0
49,20190329,1
50,20190218,0
51,20170829,0
52,20190505,0
53,20160216,1
54,20170630,0
55,20160920,0
56,20190614,0
57,20190510,0
58,20181117,0
59,20181113,0
60,20190509,0
61,20190808,0
62,20180207,0
63,20160901,0
64,20180113,0
65,20170223,0
66,20190227,0
67,20191105,0
68,20171227,0
69,20180817,0
70,20190703,0
71,20160831,0
72,20160830,0
73,20190428,0
74,20190717,0
75,20170913,0
76,20190117,0
77,20191223,0
78,20170922,0
79,20190501,0
80,20160222,0
81,20190731,0
82,20170322,0
83,20181224,0
84,20190925,0
85,20190515,0
86,20191014,0
87,20190818,0
88,20181025,0
89,20170719,0
90,20160606,0
91,20180312,0
92,20171225,0
93,20190725,0
94,20191024,0
95,20190507,0
96,20190413,0
97,20181108,1
98,20190123,0
99,20190813,0
100,20160905,0
101,20190726,0
102,20190918,0
103,20190916,0
104,20190425,0
105,20170323,0
106,20171129,0
107,20190530,0
108,20190709,1
109,20170602,0
110,20171108,0
111,20160921,0
112,20171013,0
113,20190814,0
114,20191225,0
115,20190717,0
116,20170929,0
117,20190616,0
118,20190716,0
119,20191018,1
120,20180921,0
121,20160707,0
122,20190917,0
123,20180720,0
124,20170410,0
125,20190721,0
126,20161214,0
127,20190618,0
128,20190824,0
129,20180108,0
130,20190807,0
131,20190618,0
132,20190506,1
133,20190617,0
134,20191104,0
135,20190903,0
136,20170411,0
137,20190615,0
138,20180103,0
139,20161109,0
140,20190505,0
141,20190520,0
142,20180109,0
